tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory,condition
78.0,16.4,33.6,153.06666666666666,154.2,0.06666666666666667,0.26666666666666666,17.333333333333332,90035.53333333334,65676.2,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
79.0,16.133333333333333,33.86666666666667,155.46666666666667,156.73333333333332,0.06666666666666667,0.26666666666666666,17.133333333333333,103968.53333333334,57850.933333333334,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
80.0,16.133333333333333,33.86666666666667,157.73333333333332,159.13333333333333,0.06666666666666667,0.26666666666666666,17.133333333333333,120903.66666666667,47700.26666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
81.0,16.0,34.0,161.46666666666667,161.93333333333334,0.06666666666666667,0.26666666666666666,17.466666666666665,140037.33333333334,41970.46666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
82.0,16.0,34.0,164.66666666666666,164.06666666666666,0.06666666666666667,0.26666666666666666,17.466666666666665,162335.06666666668,36142.73333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
83.0,15.733333333333333,34.266666666666666,167.86666666666667,166.33333333333334,0.06666666666666667,0.26666666666666666,17.533333333333335,195227.33333333334,30718.733333333334,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
84.0,15.733333333333333,34.266666666666666,170.66666666666666,168.6,0.06666666666666667,0.26666666666666666,17.533333333333335,231723.66666666666,27432.466666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
85.0,15.733333333333333,34.266666666666666,174.26666666666668,171.4,0.06666666666666667,0.26666666666666666,18.066666666666666,282254.8,24209.933333333334,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
86.0,15.733333333333333,34.266666666666666,177.46666666666667,172.73333333333332,0.06666666666666667,0.3333333333333333,18.066666666666666,332614.5333333333,21787.533333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
87.0,15.6,34.4,179.06666666666666,175.26666666666668,0.13333333333333333,0.3333333333333333,18.333333333333332,402133.8,19542.2,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
